nombre_estacion,gasto_total
"SAN JOSE DE FLORES",20500
"PARQUE CHACABUCO II",15500
AMENABAR,27000
"PLAZA ALMAGRO",17500
"PLAZA DE LA SHOÁ",58300
"FACULTAD DE DERECHO",20700
TRONADOR,11300
"PLAZA ITALIA",68900
"PLAZA DE LA MISERICORDIA",300
"RETIRO II",38100
GÚZMAN,4900
"AV. WARNES",40200
"JUANA MANSO I",39400
RECONQUISTA,9800
"AV. CABILDO",32300
CORRIENTES,18400
"FREIRE II",7100
PUEYRREDÓN,25700
"VILLA SOLDATI II",9900
"PLAZA SABATTINI",37200
"MINISTERIO DE EDUCACION",6300
"MARCELO T. DE ALVEAR",32000
"PLAZA VÉLEZ SARSFIELD",7700
JUNCAL,30600
AYACUCHO,2700
MONTAÑESES,53700
PACIFICO,40900
"HOSPITAL FRANCÉS",16700
"PLAZA CIUDAD DE UDINE",7400
"ONCE II",6700
"PLAZA GUEMES",14600
ADUANA,18900
"MINISTERIO DE ECONOMIA",40400
"MACACHA GUEMES",7200
VALLE,3700
"GARCIA DEL RIO",9800
"PLAZA NORUEGA",49200
ARENALES,21500
"PLAZA J.J. PASO",1900
"PARQUE DEL BAJO",24100
"AIME PAINÉ",7100
"AV. LA PLATA",6900
BEAUCHEF,3900
GUATEMALA,17200
ARMENIA,15800
"FACULTAD DE INGENIERIA",12100
"PARQUE DE LA INNOVACIÓN",10200
"BUENOS AIRES",46500
CONGRESO,45000
"PARQUE LEZAMA",23600
UADE,27800
"QUINTEROS LIDORO",20400
"PASEO DE LAS AMERICAS",7900
"PARQUE PATRICIOS II",86400
CONSTITUCIÓN,79700
"PLAZA CASTELLI",6400
"SUCRE Y MARTINEZ",3100
"PLAZA NUEVA POMPEYA",23400
ECHEVERRIA,10100
ALSINA,2900
"PLAZOLETA RAFAEL DEL RIEGO",11200
"INGENIERO BUTTY",8700
"PLAZA LIBERTAD",10100
"DONATO ALVAREZ",20300
"PLAZA FRANCISCO RAMIREZ",10100
"CLUB CIUDAD DE BUENOS AIRES",66600
"SECRETARÍA DE DEPORTES",11500
"JORGELINA DE SIMONE",7200
"RIVADAVIA Y 9 DE JULIO",5700
"RAVIGNANI Y GUATEMALA",15400
"GODOY CRUZ Y LIBERTADOR",35100
"FITZ ROY",37000
"DE LOS INCAS",14200
GRECIA,12900
ECUADOR,26200
"JULIÁN ÁLVAREZ",20700
"BEIRO Y SAN MARTÍN",11400
"ESTADOS UNIDOS",26000
"CLAUDIA PÍA BAUDRACCO",5500
"COMUNA 4",35700
CARABOBO,8100
"PARQUE RIVADAVIA",11300
"HUMBERTO 1°",18300
"CORONEL DIAZ",23800
RIOBAMBA,14600
"UNIVERSIDAD DI TELLA",6700
"AGRONOMIA II",300
GALICIA,7100
"PLAZA IRLANDA",13100
"AV. DEL LIBERTADOR",4300
"PLAZOLETA RÍO DE LA PLATA",35600
POSADAS,8700
TAMBORINI,4800
"BALBIN II",300
"PLAZA ARENALES",68200
CERRITO,24800
MALBA,69100
"25 DE MAYO",11400
"PARQUE LAS HERAS",68200
"LARREA Y BARTOLOMÉ MITRE",10900
"PARQUE ONEGA",5900
"AZOPARDO Y CHILE",11500
"JULIETA LANTERI",29600
"HOSPITAL ALEMÁN",34200
"CARLOS GARDEL",16200
"MARGARIÑOS CERVANTES",7200
"PLAZA BOLIVIA",22900
"MADERO UCA",16200
ECOPARQUE,16300
"HOSPITAL RIVADAVIA",6200
"RUY DÍAZ DE GUZMÁN",9200
CATEDRAL,13800
"PLAZA LAS TOSCANERAS",12800
"GENERAL URQUIZA",17700
"BOEDO Y VENEZUELA",58400
ARAOZ,16200
"MADERO OFFICE",26300
"PLAZOLETA COLOMBIA",9800
GAINZA,10800
"PLAZA ROMA",24400
"PARQUE CENTENARIO",37600
"PLAZA GURRUCHAGA",19900
"AVELINO DIAZ",21900
"FITZ ROY & GORRITI",17400
YATAY,14300
"PARQUE DE LA MEMORIA",13100
BIARRITZ,1100
"PLAZA BALCARCE",15600
"HIPÓLITO YRIGOYEN",14500
"PLAZA PRIMERO DE MAYO",17400
"PLAZA RAMON FALCON",900
"PACÍFICO II",11400
ONCE,37000
"PLAZA DON BOSCO",8700
VILLARROEL,8800
"PLAZA RAFAEL HERNANDEZ",4900
"PLAZA ALBERTI",20500
RAVIGNANI,9300
BRASIL,8600
"TEATRO PICADERO",14500
PARANÁ,10200
"PLAZA  SAN MARTIN",8300
"COSTANERA NORTE",10800
"ESTADOS UNIDOS Y BOEDO",42900
"PARQUE DE LA ESTACIÓN",31000
BILLINGHURST,19000
"PRIMERA JUNTA",17600
"PLAZA MONSEÑOR MIGUEL DE ANDREA",9300
"PLAZA DEL ANGEL GRIS",12100
"JOSE MARIA MORENO",10600
"PLAZA PALERMO VIEJO",13400
"PLAZA ALEMANIA",35200
INDEPENDENCIA,11700
"RODRIGO BUENO",12500
"EMILIO LAMARCA",5400
"9 DE JULIO",4200
"VIRREY CEVALLOS",19700
MORÓN,300
"PLAZA EXODO JUJEÑO",7200
MONROE,73100
"BENITO JUAREZ",1100
"LA PAMPA",9800
"UTN II",300
"FEDERICO LACROZE",10100
"MANZANA 66",27700
PUAN,5000
"BILLINGHURST Y MANSILLA",17100
"JUAN MANUEL DE BLANES",2800
"CIUDAD UNIVERSITARIA I",6600
"PLAZA MAFALDA",16700
"FACULTAD DE MEDICINA",5300
FLENI,16700
"AV. CORDOBA",11100
PLANETARIO,7100
"CIUDAD UNIVERSITARIA III",19100
"PARQUE SAAVEDRA",8200
"VILLA URQUIZA",38000
"PLAZOLETA CELEDONIO FLORES",31800
"MINISTERIO DE JUSTICIA Y SEGURIDAD",12000
BAIGORRIA,15300
"PLAZA LEONARDO N. ALEM",13700
"HOSPITAL DE CLÍNICAS",6400
"PLAZA COLEGIALES",18400
"PERÓN Y ACUÑA DE FIGUEROA",7000
PASCO,12000
"DE LOS OMBUES",8900
GAVILÁN,2800
"CARLOS CALVO",8300
MONTEVIDEO,3800
"RETIRO I",22500
"CERRETTI Y MANUELA PEDRAZA",3400
"PARQUE PATRICIOS",17200
"JOSE AMALFITANI",400
"SEC. DE INNOVACION Y TRANSFORMACIÓN",5700
"AZUCENA VILLAFLOR",16700
BELAUSTEGUI,2300
VELASCO,16200
"PLAZA ZAPIOLA",2100
"PLAZA SAENZ PEÑA",10700
"PLAZA DE LA BANDERA",5600
"TORRE MACRO",4100
"BARRANCAS DE BELGRANO",19100
"CENTRO DE EXPOSICIONES",2400
"VELEZ SARSFIELD",1500
HUMAHUACA,7100
"AVENIDA CRAMER",5000
HUAURA,400
"PLAZA FELIX LIMA",7800
MAIPÚ,5100
NUÑEZ,24700
"AUSTRIA Y FRENCH",22400
"ACUÑA DE FIGUEROA",14500
"SAN MARTIN",7800
"HOSPITAL RAMOS MEJIA",7100
"COSTA RICA",2700
SUPERÍ,6500
"COMUNA 13",4600
"PLAZA VICENTE LOPEZ",3600
"ARREGUI Y TERRADA",14500
CHILE,20500
"PARQUE DE LAS CIENCIAS",6400
HOLMBERG,7700
"CASA SAN",6700
MALABIA,20300
VIDAL,12900
"PLAZA 24 DE SEPTIEMBRE",4400
"HOSPITAL ITALIANO",17800
ESPINOSA,4800
"PASEO DE LA COSTANERA",7500
MEXICO,48800
ACEVEDO,7500
"PLAZA ECHEVERRIA",5400
ARANGUREN,10100
"HOSPITAL ALVAREZ",6900
"HOSPITAL ALVEAR",4200
SALCEDO,1900
AGUERO,2900
"AV. ELCANO",3100
"CEMENTERIO DE RECOLETA",29200
"FILOSOFIA Y LETRAS",2400
"INSTITUTO LELOIR",17500
"PLAZA BRUNO GIORDANO",6400
ROSETI,48600
"COLONIA EXPRESS",2800
OBELISCO,3600
UGARTECHE,10000
CERRETTI,2800
"EVA PERÓN",8900
"CLUB EXCURSIONISTAS",2900
"SAN MIGUEL DE GARICOITS",27300
"MINISTRO CARRANZA",19700
"PLAZA LUCIO DEMARE",7300
"PARQUE AVELLANEDA",13500
"ARENALES Y AGUERO",8400
"INSTITUTO POLITÉCNICO MODELO",3100
GUAYAQUIL,5900
"SIMON BOLIVAR",2500
LUNA,7100
SAAVEDRA,14600
"HONORIO PUEYRREDON",500
"JOSÉ MARMOL",2500
PASTEUR,4900
"PLAZA 25 DE AGOSTO",4200
"33 ORIENTALES",3800
MEDRANO,13700
RIGLOS,1800
URUGUAY,7600
"VILLA OLÍMPICA",3200
CABELLO,11100
"PLAZA DON SEGUNDO SOMBRA",2800
"LAS CASAS",8400
AGRONOMIA,17400
"BEIRO Y SEGUROLA",12100
"PLAZA CD DE BANFF",3900
"HOSPITAL TORNU",600
"SOLAR DE LA ABADÍA",10500
"PLAZA REPÚBLICA DE ECUADOR",2500
"VILLA DEL PARQUE",43800
NAVARRO,1700
"PLAZA ARISTÓBULO DEL VALLE",37500
"LA PATERNAL",2100
CAMPANA,700
CALIFORNIA,4600
HUSARES,3200
"PARQUE CHAS",4100
"AVENIDA TRIUNVIRATO",700
FRANKLIN,1600
LIMA,17600
"PARQUE JOSÉ EVARISTO URIBURU",13700
"HOSPITAL ARGERICH",7700
"NICASIO OROÑO",800
"PLAZOLETA BENEDIT",4900
"PLAZA MARCOS SASTRE",800
"PASEO DE LA COSTANERA II",800
"PEDRO ECHAGUE",5200
BEIRO,3400
"LAS VICTORIAS",900
"JUAN DE GARAY",16400
"PARQUE AVELLANEDA II",900
"AV. FOREST",3400
"LAS CAÑITAS",3000
"MATIENZO Y ARCE",13100
"PLAZA MARTIN RODRIGUEZ",3700
"CASA ROSADA",3200
"SOLDADO DE LA FRONTERA",900
"PARQUE SARMIENTO II",2000
"PLAZA MONTE CASTRO",20600
"EL LIBERTADOR",1000
"VENANCIO FLORES",1000
"FACULTAD DE PSICOLOGIA",1000
"PARQUE SARMIENTO I",60800
JURAMENTO,3400
"HOSPITAL GARRAHAN",3400
"CRISOLOGO LARRALDE",58500
"JOSÉ MARTÍ",1000
AEROPARQUE,2200
AREVALO,45200
"VICTOR MANUEL ACUÑA",12100
"ESTACIÓN LUGANO",1100
ALLENDE,3400
"PLAZA EJERCITO DE LOS ANDES",3500
"MARTÍ Y DIRECTORIO",1100
BELGRANO,4800
"TEATRO COLÓN",2300
"JOSE ARTIGAS",3300
ALMAGRO,5000
"JORGE NEWBERY",3500
COGHLAN,1100
"HOSPITAL BRITANICO",1100
"MERCADO DE HACIENDA MATADEROS",17500
"TRONADOR Y GARCÍA DEL RÍO",5100
RAFAELA,3700
"PLAZA DR. JUAN B. TERAN",3800
DEVOTO,1200
"PLAZA SUDAMERICA",9400
"COMUNA 7",2500
"BIBLIOTECA NACIONAL",5000
CULPINA,2600
"PLAZA ALBERDI",1200
QUESADA,1200
HABANA,1200
"UNIVERSIDAD DEL SALVADOR",3800
ALMAFUERTE,1200
"PLAZA JOSE C PAZ",2600
"SAN MARTIN II",2600
"UBA SOCIALES",1300
"ESCUELA RAGGIO",3900
"PLAZA RAVIGNANI",9400
"ESTACION VILLA LURO",1300
"SAN ISIDRO LABRADOR",4100
"HIPODROMO DE PALERMO",1300
"RUIZ HUIDOBRO",1300
"ALVEAR TENIS CLUB",4200
"JARDIN BOTANICO",2800
"PLAZA BENITO NAZAR",1400
HONDURAS,4200
PICO,1400
